'M',151,151,3.8,2009,'Asia','Computer Science'
'M',96,96,3.84,2008,'USA','Information Systems'
'M',142,127,3.5,2010,'USA','Information Technology'
'M',143,139,3.21,2012,'Hawaii','Computer & Information Science'
'M',187,160,2.85,2010,'Pacific','Information Systems'
'M',163.5,153,3.39,2009,'Asia','Information Technology'
'F',152,140,2.66,2009,'Pacific','Information Systems'
'M',157,138,2.94,2009,'Pacific','Information Systems'
'M',164.5,142.5,3.16,2009,'Asia','Information Systems'
'F',167,167,3.93,2009,'Asia','Information Technology'
'F',167,167,3.93,2009,'Asia','Information Systems'
'M',190.5,177.5,2.79,2010,'Asia','Information Systems'
'M',153,129,3.23,2012,'Pacific','Information Technology'
'M',119,112,2.92,2009,'Other International','Information Systems'
'M',127,121,3.22,2009,'Asia','Information Systems'
'M',107,107,3.17,2008,'USA','Information Systems'
'M',163,135,2.83,2010,'Asia','Information Technology'
'F',151.5,126.5,2.87,2009,'Pacific','Computer & Information Science'
'M',157,137,3.14,2011,'Asia','Information Technology'
'M',156,154.5,3.43,2010,'Asia','Information Systems'
'M',131,131,3.54,2009,'Asia','Information Systems'
'M',163,154.5,2.99,2010,'Asia','Information Technology'
'F',151,151,3.3,2010,'Hawaii','Information Systems'
'M',136,136,3.89,2012,'Hawaii','Computer Science'
'M',144,133,2.75,2011,'Other International','Computer & Information Science'
'M',124,124,3.36,2011,'Other International','Information Systems'
'M',70,70,3.19,2008,'USA','Information Systems'
'M',166,162,3.07,2010,'Asia','Information Systems'
'M',189,189,3.65,2011,'Asia','Information Systems'
'M',156.5,151.5,2.74,2010,'Asia','Information Systems'
'M',102,102,3.5,2009,'Asia','Information Systems'
'F',123,120,3.31,2009,'Hawaii','Information Systems'
'M',87,87,3.91,2009,'USA','Computer Science'
'M',114,114,3.68,2008,'Asia','Computer Science'
'M',154,138,2.78,2011,'Asia','Information Systems'
'M',149,138,3.22,2010,'Other International','Computer Science'
'M',168,162,2.95,2011,'Asia','Information Technology'
'M',176.5,174.5,3.02,2011,'Asia','Information Technology'
'M',162,143,2.8,2011,'Pacific','Information Technology'
'M',129,129,3.97,2009,'USA','Computer Science'
'F',138,132,3.14,2012,'Asia','Information Systems'
'M',163,155,3.2,2010,'Pacific','Information Systems'
'M',170,162,3.16,2011,'Other International','Information Systems'
'M',140,137,3.37,2010,'Asia','Information Technology'
'M',81,69,2.92,2009,'Other International','Information Systems'
'M',164.5,155.5,2.89,2011,'Asia','Information Systems'
'M',132.5,132.5,3.73,2010,'Other International','Information Technology'
'F',65,65,3.47,2010,'USA','Information Systems'
'M',166.5,156,2.9,2011,'Pacific','Information Technology'
'M',152.5,146.5,3.1,2011,'Pacific','Information Systems'
'M',152.5,146.5,3.1,2011,'Pacific','Information Technology'
'F',158,158,3.61,2011,'USA','Information Technology'
'M',193.5,162.5,3.25,2012,'Asia','Information Systems'
'M',145,136,3.66,2011,'Asia','Computer Science'
'M',149,143,3.03,2011,'Pacific','Information Technology'
'F',161.5,155.5,2.91,2011,'Asia','Information Systems'
'M',130,130,3.55,2010,'Asia','Information Technology'
'M',139,135,2.68,2012,'Other International','Information Technology'
'M',148,148,3.75,2011,'Asia','Information Systems'
'M',148,148,3.75,2011,'Asia','Information Technology'
'M',148,145,3.39,2011,'Pacific','Information Technology'
'M',152,126,2.82,2011,'Pacific','Computer & Information Science'
'M',143.5,139,3.08,2011,'Asia','Information Systems'
'F',81,81,3.49,2010,'Asia','Information Systems'
'M',132,123,3.35,2011,'Pacific','Information Systems'
'M',158,138,3.43,2012,'Pacific','Information Technology'
'M',139,131,3.44,2011,'Pacific','Computer Science'
'F',148,148,3.83,2012,'Asia','Information Systems'
'M',99,84,3.17,2012,'Other International','Information Technology'
'M',131,131,3.25,2012,'Asia','Information Technology'
'M',115,109,3.24,2012,'Asia','Information Technology'
